Nombre;Categoría;Descripción;Enlace
Microsoft To Do;Productividad;Gestor de tareas personal con recordatorios e integración con Outlook.;https://todo.microsoft.com
Reoon;Emailing y validación;Herramienta para limpiar listas de emails y mejorar la entregabilidad.;https://reoon.com
Moxie;CRM y gestión freelance;Suite para freelancers que incluye CRM; facturación
ZagoMail;Emailing y automatización;Plataforma de email marketing con automatización; secuencias y creación de landing pages.
Textdrip;Marketing por SMS;Herramienta para enviar campañas SMS automatizadas y rastrear respuestas.;https://textdrip.com
Breakcold;Prospección y redes sociales;Herramienta de prospección multicanal combinando email y redes sociales.;https://breakcold.com
Typebot;Chatbots;Creador de chatbots conversacionales personalizados para sitios web y apps.;https://typebot.io
Zoho Desk;Soporte al cliente;Helpdesk multicanal con tickets; base de conocimientos y análisis
Mailercloud;Emailing;Plataforma para crear; enviar y seguir campañas de email con segmentación.
LINE;Mensajería;Aplicación de mensajería popular en Asia; utilizada tanto personal como comercialmente.
Dukaan;E-commerce;Plataforma india para crear una tienda online rápidamente y sin conocimientos técnicos.;https://mydukaan.io
WhatsApp Business API;Mensajería y soporte;API oficial para integrar WhatsApp en sistemas CRM y helpdesk.;https://business.whatsapp.com
Birdview;Gestion de proyectos;Herramienta para planificar; seguir y visualizar tareas en equipo.
Sniply;Marketing de contenidos;Herramienta para añadir CTA en enlaces compartidos y captar leads.;https://snip.ly
Taskade;Productividad y colaboración;Herramienta para tomar notas; gestionar tareas y colaborar en tiempo real.
AlbatoAI;IA y automatización;Módulo IA de Albato para enriquecer automatizaciones con inteligencia artificial.;https://albato.com/ai
Infinity;Gestion de proyectos;Plataforma flexible para gestionar proyectos; tareas
Systeme.io;E-commerce y formación;Suite todo-en-uno para vender productos; crear embudos de venta y alojar cursos.
Documentero;Documentos y contratos;Herramienta para generar; firmar y gestionar documentos y contratos online.
CS-Cart;E-commerce;Plataforma para crear marketplaces y tiendas online multi-vendedor.;https://cs-cart.com
Mobilo; Tarjetas de visita digitales;Solución para crear y compartir tarjetas de visita NFC inteligentes.;https://mobilocard.com
Tawk.to;Soporte al cliente y chat;Chat en vivo gratuito para sitios web con seguimiento de visitantes e integraciones.;https://tawk.to
Switchboard Canvas;Personalización de imágenes;API para generar automáticamente imágenes de marketing personalizadas.;https://switchboard.ai
Gemini AI;IA y generación;Modelo de inteligencia artificial de Google; competidor de ChatGPT
Flotiq;Headless CMS;CMS flexible y API-first para gestionar y distribuir contenido.;https://flotiq.com
AITable;IA y bases de datos;Herramienta que combina IA y base de datos colaborativa para analizar; enriquecer y automatizar datos.
AltText.ai;IA y accesibilidad;Generador de textos alternativos para imágenes para mejorar accesibilidad y SEO.;https://alttext.ai
Google Slides;Productividad;Aplicación de presentaciones colaborativas online integrada en Google Workspace.;https://slides.google.com
Simla;E-commerce y CRM;Plataforma unificada para gestión e-commerce; CRM
Closum;Emailing y CRM;Herramienta de automatización de marketing para enviar emails personalizados y gestionar contactos.;https://closum.com
Trafft;Reservas en línea;Sistema de reservas online con pagos; notificaciones y sincronización de calendario.
Google My Business;SEO local;Herramienta para gestionar presencia local en Google (fichas; horarios
NinjaOne;Gestion IT;Plataforma de gestión IT (RMM) para monitorizar y administrar dispositivos remotamente.;https://ninjaone.com
GoZen Forms;Formularios;Creador de formularios sin código; orientado a captación de leads y encuestas.
Mailparser;Automatización y extracción;Herramienta para extraer automáticamente datos de correos electrónicos.;https://mailparser.io
Launched;Lanzamiento de productos;Plataforma para planificar; organizar y promocionar lanzamientos de productos.
Chanty;Comunicación y colaboración;Mensajería de equipo sencilla con gestión de tareas integrada.;https://chanty.com
Cloudinary;Multimedia y CDN;Plataforma en la nube para gestionar; transformar y entregar imágenes y vídeos.
Luma;Eventos y comunidad;Plataforma para organizar; promocionar y gestionar eventos online.
LinkDeal;Afiliación y marketing;Herramienta para gestionar campañas de afiliación y monetizar contenido mediante asociaciones.;https://linkdeal.io
SMS-iT;Marketing por SMS;Solución completa para campañas SMS; MMS
Zoho People;RRHH y gestión de empleados;Sistema de RRHH para gestionar permisos; horarios
BambooHR;RRHH;Software RRHH para PYMES; incluye reclutamiento
Makeforms;Formularios;Herramienta para crear formularios seguros con lógica avanzada y diseño personalizable.;https://makeforms.io
Fluent Forms;Formularios (WordPress);Plugin WordPress para crear formularios con lógica condicional; pagos e integraciones.
Microsoft Dynamics CRM 365;CRM;Suite CRM de Microsoft para ventas; atención al cliente y marketing.
Greenhouse;Reclutamiento;Sistema de seguimiento de candidatos (ATS) para contratar e integrar empleados.;https://greenhouse.io
Workday;RRHH y finanzas;Solución cloud para gestionar RRHH; finanzas
Learnworlds;Formación online;Plataforma para crear; vender y alojar cursos online interactivos.
RocketReach;Prospección y enriquecimiento;Herramienta para encontrar contactos profesionales y enriquecer bases de datos.;https://rocketreach.co
ManyContacts;Captación de leads;Barra de captación de leads para sitios web con formularios; cupones o mensajes.
Grawt;Reputación online;Herramienta para recopilar opiniones de clientes y mejorar la reputación en línea.;https://grawt.io
Square;Pago;Solución de pago para tiendas físicas y online; incluye terminal y software TPV.
Gravitec.net;Notificaciones push;Plataforma para enviar notificaciones push web segmentadas y automatizadas.;https://gravitec.net
Cloutly;Reputación online;Herramienta para recopilar; gestionar y difundir opiniones de clientes.
Claude AI (Anthropic);IA conversacional;Modelo de IA desarrollado por Anthropic; competidor de ChatGPT para procesamiento de lenguaje.
Robolly;Automatización de diseño;API para generar visuales personalizados automáticamente.;https://robolly.com
noCRM;CRM;CRM centrado en prospección y conversión con pipeline simple e intuitivo.;https://nocrm.io
Sendloop;Emailing;Plataforma para enviar y gestionar campañas de email marketing.;https://sendloop.com
